No.,Time,Source,Destination,Protocol,Length,Frame length on the wire,Info
14243,2.302585,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Application Data
14370,2.304142,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Application Data
14493,2.305395,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Application Data
14613,2.306892,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Application Data
14727,2.308401,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Application Data
14851,2.31971,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Application Data
14974,2.320981,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Application Data
15099,2.322472,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Application Data
15224,2.324339,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Application Data
15348,2.325617,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Application Data
15473,2.327104,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Application Data
15597,2.32838,193.206.135.76,172.17.0.10,TLSv1.3,250,250,Application Data
15723,2.329867,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Application Data
15848,2.331565,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Application Data
15974,2.332979,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Application Data
16100,2.334475,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Application Data
16223,2.335737,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Application Data
16348,2.337204,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Application Data
16475,2.371843,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Application Data
16600,2.373353,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Application Data
16725,2.374848,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Application Data
16849,2.377926,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Application Data
16975,2.379611,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Application Data
17099,2.38107,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Application Data
17225,2.382493,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Application Data
17353,2.384493,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Application Data
17480,2.38631,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Application Data
17605,2.387843,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Application Data
17728,2.389108,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Application Data
17845,2.390954,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Application Data
17958,2.392487,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Application Data
18082,2.39981,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Application Data
18207,2.401481,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Application Data
18333,2.402977,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Application Data
18458,2.404469,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Application Data
18583,2.406135,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Application Data
18711,2.407959,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Application Data
18834,2.409206,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Application Data
18959,2.41099,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Application Data
19086,2.412643,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Application Data
19180,2.433827,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Application Data
19296,2.435086,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Application Data
19409,2.437006,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Application Data
19524,2.439353,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Application Data
19639,2.464582,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Application Data
19764,2.4661,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Application Data
19889,2.46854,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Application Data
20003,2.470063,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Application Data
20123,2.471299,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Application Data
20248,2.475327,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Application Data
20373,2.476827,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Application Data
20498,2.478093,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Application Data
20629,2.481864,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Application Data
20745,2.483521,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Application Data
20865,2.485126,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Application Data
20992,2.488104,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Application Data
21116,2.489363,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Application Data
21242,2.490857,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Application Data
21366,2.492124,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Application Data
21491,2.493616,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Application Data
21616,2.495123,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Application Data
21742,2.496615,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Application Data
21865,2.497875,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Application Data
21990,2.499439,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Application Data
22115,2.501055,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Application Data
22239,2.502538,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Application Data
22354,2.503789,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Application Data
22467,2.505843,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Application Data
22593,2.50849,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Application Data
22720,2.548815,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Application Data
22843,2.550408,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Application Data
22967,2.551683,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Application Data
23093,2.553173,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Application Data
23218,2.554708,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Application Data
23342,2.556184,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Application Data
23467,2.557456,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Application Data
23593,2.558945,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Application Data
23718,2.56042,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Application Data
23846,2.563099,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Application Data
23971,2.564506,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Application Data
24096,2.566,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Application Data
24223,2.568185,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Application Data
24350,2.570417,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Application Data
24474,2.571682,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Application Data
